,Time,Weighted_Price,Total_Size,Order_Number
0,9.362,186.5,4.0,2.0
1,10.168,186.0,1.0,1.0
2,11.377,186.0,1.0,1.0
3,13.237,186.0,2.0,1.0
4,15.593,187.0,1.0,1.0
5,15.841,187.0,5.0,1.0
6,18.135,186.0,4.0,1.0
7,19.53,183.75,4.0,2.0
8,20.491,182.5,2.0,2.0
9,21.669,182.0,3.0,1.0
10,22.599,182.0,3.0,1.0
11,23.157,182.0,2.0,1.0
12,23.281,183.0,3.0,1.0
13,27.993,183.0,5.0,1.0
14,32.116,186.0,2.0,1.0
15,33.79,183.0,2.0,1.0
16,35.65,183.0,3.0,1.0
17,40.858,184.0,5.0,2.0
18,42.067,185.0,1.0,1.0
19,45.539,184.0,1.0,1.0
20,45.756,182.0,3.0,1.0
21,48.794,181.75,4.0,2.0
22,49.011,180.66666666666666,3.0,2.0
23,51.832,178.0,4.0,1.0
24,53.444,183.0,9.0,3.0
25,55.8,175.33333333333334,3.0,2.0
26,57.071,178.0,1.0,1.0
27,61.287,183.0,5.0,1.0
28,62.217,183.0,1.0,1.0
29,63.271,182.0,5.0,1.0
30,64.17,183.33333333333334,3.0,2.0
31,64.976,184.0,1.0,1.0
32,65.069,181.0,3.0,2.0
33,68.293,182.0,5.0,1.0
34,70.928,186.0,1.0,1.0
35,74.71,183.0,4.0,1.0
36,75.051,183.0,2.0,1.0
37,78.585,182.33333333333334,3.0,2.0
38,80.073,182.0,3.0,1.0
39,82.336,182.0,2.0,1.0
40,82.491,181.25,4.0,2.0
41,84.444,180.0,1.0,1.0
42,86.242,180.0,2.0,1.0
43,87.048,185.0,1.0,1.0
44,91.946,183.0,1.0,1.0
45,92.225,182.0,1.0,1.0
46,94.333,180.5,4.0,2.0
47,97.867,176.0,1.0,1.0
48,99.603,174.0,4.0,2.0
49,100.192,175.0,1.0,1.0
50,100.626,177.75,4.0,3.0
51,102.052,174.0,4.0,1.0
52,103.323,176.0,4.0,2.0
53,103.354,180.0,6.0,3.0
54,105.462,181.66666666666666,6.0,3.0
55,110.546,178.0,4.0,1.0
56,112.282,180.0,1.0,1.0
57,114.886,182.0,2.0,1.0
58,114.948,182.0,1.0,1.0
59,118.513,180.0,3.0,1.0
60,119.66,181.0,1.0,1.0
61,120.559,183.0,3.0,1.0
62,120.745,183.0,1.0,1.0
63,121.768,183.0,1.0,1.0
64,122.791,181.0,1.0,1.0
65,123.194,187.0,1.0,1.0
66,124.31,186.0,1.0,1.0
67,124.899,187.0,1.0,1.0
68,126.976,184.0,1.0,1.0
69,129.239,181.0,2.0,2.0
70,129.332,181.0,5.0,1.0
71,130.386,183.0,3.0,1.0
72,131.967,188.0,1.0,1.0
73,137.113,186.0,2.0,1.0
74,137.299,183.0,1.0,1.0
75,140.74,183.0,1.0,1.0
76,141.143,183.0,1.0,1.0
77,141.174,182.0,1.0,1.0
78,144.646,181.66666666666666,3.0,2.0
79,144.677,181.0,2.0,1.0
80,147.808,180.0,5.0,2.0
81,149.637,183.0,1.0,1.0
82,150.691,181.0,5.0,1.0
83,150.908,181.0,1.0,1.0
84,151.497,180.0,1.0,1.0
85,153.667,181.0,1.0,1.0
86,155.806,181.33333333333334,6.0,2.0
87,156.953,182.5,4.0,2.0
88,158.038,177.0,1.0,1.0
89,160.487,181.0,1.0,1.0
90,161.479,179.0,1.0,1.0
91,161.913,176.0,1.0,1.0
92,162.657,173.0,1.0,1.0
93,167.307,175.0,2.0,1.0
94,167.4,175.0,1.0,1.0
95,172.174,176.0,5.0,1.0
96,172.794,177.0,2.0,1.0
97,173.972,178.0,2.0,1.0
98,174.592,177.0,3.0,1.0
99,177.041,179.0,5.0,1.0
100,177.103,179.5,4.0,2.0
101,178.622,176.0,3.0,1.0
102,178.684,177.0,5.0,1.0
103,179.397,181.0,2.0,1.0
104,180.885,181.5,2.0,2.0
105,182.187,176.0,3.0,1.0
106,183.458,181.0,3.0,1.0
107,183.675,182.0,1.0,1.0
108,186.341,183.5,6.0,2.0
109,191.921,189.0,1.0,1.0
110,194.029,186.75,4.0,2.0
