,Time,Weighted_Price,Total_Size,Order_Number
0,6.076,186.75,4.0,2.0
1,14.322,191.0,1.0,1.0
2,14.353,191.0,3.0,1.0
3,14.663,190.0,2.0,1.0
4,14.849,190.0,1.0,1.0
5,16.089,193.0,1.0,1.0
6,16.399,192.0,1.0,1.0
7,16.74,190.0,1.0,1.0
8,18.569,190.0,3.0,1.0
9,19.22,189.33333333333334,3.0,2.0
10,21.359,195.0,2.0,1.0
11,24.893,195.0,2.0,1.0
12,31.093,196.0,1.0,1.0
13,33.759,194.0,1.0,1.0
14,33.883,192.6,5.0,3.0
15,37.014,193.0,2.0,1.0
16,37.045,190.66666666666666,3.0,2.0
17,37.727,193.0,1.0,1.0
18,39.339,194.0,1.0,1.0
19,40.145,194.0,3.0,1.0
20,40.92,194.0,1.0,1.0
21,42.625,190.0,5.0,1.0
22,44.299,186.75,4.0,2.0
23,51.77,193.0,2.0,1.0
24,53.909,194.0,2.0,1.0
25,54.467,193.0,1.0,1.0
26,54.591,191.0,1.0,1.0
27,55.149,190.0,2.0,1.0
28,56.203,189.0,1.0,1.0
29,56.265,189.0,2.0,1.0
30,56.606,189.0,1.0,1.0
31,59.458,191.0,3.0,1.0
32,60.078,192.0,1.0,1.0
33,60.388,189.5,4.0,2.0
34,61.473,191.0,1.0,1.0
35,61.628,189.0,2.0,1.0
36,63.271,196.0,1.0,1.0
37,65.379,195.2,5.0,2.0
38,67.766,192.2,5.0,2.0
39,76.167,196.0,2.0,1.0
40,77.221,196.0,1.0,1.0
41,78.399,196.0,5.0,1.0
42,78.616,196.0,1.0,1.0
43,80.135,196.0,3.0,1.0
44,81.375,195.0,4.0,1.0
45,81.902,195.0,1.0,1.0
46,82.243,195.0,1.0,1.0
47,82.491,194.33333333333334,3.0,2.0
48,89.838,193.33333333333334,3.0,2.0
49,91.14,191.0,4.0,1.0
50,92.132,192.0,2.0,1.0
51,97.278,195.0,5.0,1.0
52,98.27,195.0,1.0,1.0
53,98.828,196.0,1.0,1.0
54,100.099,195.0,3.0,1.0
55,100.254,195.0,1.0,1.0
56,100.967,194.0,4.0,1.0
57,101.122,193.4,5.0,2.0
58,102.114,191.0,1.0,1.0
59,106.361,194.0,1.0,1.0
60,106.609,194.25,4.0,2.0
61,108.314,194.0,3.0,3.0
62,108.934,191.0,2.0,1.0
63,113.305,193.0,4.0,1.0
64,118.389,196.0,1.0,1.0
65,118.916,196.0,1.0,1.0
66,121.055,192.6,5.0,2.0
67,121.706,192.0,2.0,1.0
68,121.768,191.0,4.0,1.0
69,122.171,191.0,3.0,1.0
70,123.411,190.25,4.0,2.0
71,124.186,188.0,2.0,2.0
72,125.798,186.5,4.0,3.0
73,126.294,197.6153846153846,13.0,3.0
74,128.836,193.6,5.0,2.0
75,133.486,192.0,1.0,1.0
76,134.354,192.0,1.0,1.0
77,136.059,195.0,2.0,1.0
78,139.624,192.0,2.0,1.0
79,140.616,190.0,5.0,2.0
80,140.678,190.0,1.0,1.0
81,141.422,189.2,5.0,3.0
82,142.197,189.0,1.0,1.0
83,142.445,191.0,1.0,1.0
84,145.297,193.0,1.0,1.0
85,147.56,194.5,6.0,2.0
86,147.808,189.0,3.0,2.0
87,151.59,194.0,1.0,1.0
88,153.388,193.0,1.0,1.0
89,155.155,191.0,3.0,1.0
90,160.859,193.0,3.0,1.0
91,161.138,191.4,5.0,3.0
92,161.603,190.0,5.0,1.0
93,162.347,189.2,5.0,2.0
94,165.447,194.0,5.0,1.0
95,166.904,193.0,1.0,1.0
96,169.818,193.0,2.0,1.0
97,170.128,193.0,2.0,1.0
98,170.531,192.5,2.0,2.0
99,175.181,191.0,2.0,1.0
100,178.126,191.0,1.0,1.0
101,178.684,192.33333333333334,6.0,2.0
102,179.428,195.0,3.0,1.0
103,183.737,195.0,1.0,1.0
104,184.233,194.5,2.0,2.0
105,187.302,192.0,4.0,1.0
106,189.72,190.0,1.0,1.0
107,191.239,189.6,5.0,2.0
108,192.603,189.0,3.0,1.0
109,195.889,190.0,1.0,1.0
110,196.726,188.25,4.0,2.0
111,198.09,192.0,4.0,1.0
112,200.012,194.0,1.0,1.0
113,201.872,194.0,4.0,2.0
114,202.058,190.66666666666666,3.0,2.0
115,204.414,193.0,2.0,1.0
116,206.553,190.0,4.0,1.0
117,206.77,190.0,3.0,1.0
118,207.08,190.0,1.0,1.0
119,207.638,190.0,1.0,1.0
120,208.072,194.0,2.0,1.0
121,211.606,193.0,2.0,1.0
122,211.854,193.0,3.0,1.0
123,213.218,192.0,1.0,1.0
124,214.024,194.0,5.0,1.0
125,214.675,195.0,2.0,1.0
126,219.604,195.0,1.0,1.0
127,219.666,195.0,1.0,1.0
128,220.255,195.0,3.0,1.0
129,222.549,195.0,2.0,1.0
130,225.215,195.0,4.0,1.0
131,225.618,195.0,1.0,1.0
132,225.866,194.0,2.0,1.0
133,227.695,192.0,2.0,1.0
134,229.493,192.0,1.0,1.0
135,231.942,192.0,1.0,1.0
136,232.066,193.0,1.0,1.0
137,232.407,192.0,2.0,1.0
138,234.732,190.0,2.0,2.0
139,235.786,192.0,1.0,1.0
140,238.08,195.0,3.0,1.0
141,238.793,195.0,4.0,2.0
142,240.188,192.0,1.0,1.0
143,240.746,190.0,1.0,1.0
144,240.963,193.0,1.0,1.0
145,241.707,193.0,1.0,1.0
146,245.52,192.33333333333334,3.0,2.0
147,249.612,193.0,1.0,1.0
148,250.201,193.0,2.0,1.0
149,253.053,193.0,1.0,1.0
150,255.843,195.0,3.0,1.0
151,255.967,195.0,2.0,1.0
152,258.354,194.0,1.0,1.0
153,258.788,194.0,1.0,1.0
154,259.935,195.0,1.0,1.0
155,260.059,193.0,2.0,1.0
156,263.314,195.0,3.0,1.0
