,Time,Weighted_Price,Total_Size,Order_Number
0,6.231,365.0,3.0,1.0
1,15.81,373.0,3.0,1.0
2,16.213,372.0,4.0,1.0
3,16.244,371.4,5.0,3.0
4,16.554,371.5,2.0,2.0
5,18.662,371.0,1.0,1.0
6,19.096,369.0,2.0,1.0
7,19.344,370.0,1.0,1.0
8,19.437,369.0,1.0,1.0
9,21.545,367.0,2.0,1.0
10,21.948,367.0,2.0,1.0
11,23.157,368.0,2.0,1.0
12,23.808,366.0,2.0,1.0
13,24.49,366.0,5.0,1.0
14,24.583,366.0,3.0,1.0
15,25.296,365.4,5.0,2.0
16,25.451,367.0,2.0,1.0
17,27.311,366.0,1.0,1.0
18,28.706,360.0,1.0,1.0
19,28.799,364.3,10.0,3.0
20,36.921,362.0,2.0,1.0
21,37.634,363.0,2.0,1.0
22,39.215,371.0,2.0,1.0
23,40.114,364.0,1.0,1.0
24,40.393,365.0,3.0,1.0
25,41.044,372.0,1.0,1.0
26,44.144,372.4,5.0,2.0
27,47.709,372.0,2.0,1.0
28,48.143,372.0,3.0,1.0
29,49.042,373.0,2.0,1.0
30,49.073,373.0,3.0,1.0
31,49.197,372.0,3.0,1.0
32,50.623,372.0,2.0,1.0
33,51.243,372.0,4.0,1.0
34,54.126,371.0,1.0,1.0
35,54.808,370.0,4.0,1.0
36,56.296,368.0,5.0,3.0
37,57.071,367.0,3.0,2.0
38,58.497,367.0,3.0,1.0
39,58.993,365.0,2.0,1.0
40,59.241,365.0,3.0,2.0
41,63.953,369.25,4.0,4.0
42,64.728,363.0,1.0,1.0
43,68.293,371.0,3.0,1.0
44,69.409,367.3333333333333,3.0,2.0
45,70.618,367.0,5.0,1.0
46,70.68,367.0,5.0,1.0
47,70.99,367.0,2.0,1.0
48,71.734,364.0,1.0,1.0
49,72.168,364.0,1.0,1.0
50,74.028,364.0,1.0,1.0
51,74.803,365.0,2.0,1.0
52,77.655,371.5,4.0,2.0
53,79.298,357.0,1.0,1.0
54,81.034,373.0,4.0,1.0
55,84.072,368.2,5.0,2.0
56,88.04,369.0,5.0,1.0
57,88.412,369.0,3.0,1.0
58,88.443,370.0,4.0,1.0
59,93.124,373.0,1.0,1.0
60,97.65,373.0,2.0,1.0
61,98.301,373.0,1.0,1.0
62,99.882,373.0,2.0,1.0
63,100.812,374.0,1.0,1.0
64,101.06,373.0,1.0,1.0
65,101.277,372.0,2.0,1.0
66,105.307,372.0,4.0,1.0
67,109.12,372.0,2.0,1.0
68,110.484,372.0,3.0,1.0
69,113.677,371.6666666666667,3.0,2.0
70,115.971,372.0,2.0,1.0
71,117.583,373.0,2.0,1.0
72,117.893,373.0,2.0,1.0
73,119.753,374.0,2.0,1.0
74,120.28,374.0,1.0,1.0
75,121.117,372.0,5.0,1.0
76,121.396,372.0,2.0,1.0
77,121.799,372.0,5.0,1.0
78,129.301,372.3333333333333,3.0,2.0
79,131.161,370.5,4.0,2.0
80,133.238,371.0,3.0,1.0
81,133.92,370.0,2.0,1.0
82,134.106,370.75,4.0,2.0
83,134.695,369.0,2.0,1.0
84,134.943,369.0,1.0,1.0
85,135.718,367.0,1.0,1.0
86,139.779,370.6,5.0,2.0
87,142.383,367.0,2.0,1.0
88,145.638,370.3333333333333,3.0,2.0
89,146.816,369.75,4.0,3.0
90,148.056,364.0,4.0,3.0
91,152.148,360.0,1.0,1.0
92,153.326,369.0,2.0,1.0
93,153.884,367.0,1.0,1.0
94,155.465,365.0,2.0,1.0
95,159.433,361.0,4.0,2.0
96,160.766,362.0,3.0,1.0
97,164.331,363.25,4.0,3.0
98,166.377,368.0,2.0,1.0
99,166.408,368.0,3.0,1.0
100,170.562,372.0,4.0,1.0
101,171.058,372.0,1.0,1.0
102,172.298,372.0,3.0,1.0
103,173.755,372.0,1.0,1.0
104,174.654,372.0,3.0,1.0
105,175.119,372.0,4.0,1.0
106,177.692,372.0,1.0,1.0
107,184.574,371.0,2.0,1.0
108,184.884,370.0,2.0,1.0
109,186.124,367.0,1.0,1.0
110,186.155,367.0,2.0,1.0
111,186.775,366.25,4.0,2.0
112,187.457,365.8,5.0,2.0
113,189.72,357.125,8.0,3.0
114,194.029,363.0,3.0,1.0
115,194.99,361.0,3.0,1.0
116,199.795,358.0,2.0,1.0
117,201.686,359.5,2.0,2.0
118,203.05,363.125,8.0,3.0
119,203.236,365.0,1.0,1.0
120,205.654,366.5,4.0,3.0
121,206.584,371.3333333333333,3.0,2.0
122,212.164,368.0,1.0,1.0
123,213.311,366.0,4.0,2.0
124,214.644,366.0,3.0,1.0
125,217.465,363.0,2.0,2.0
126,220.751,361.0,4.0,1.0
127,222.177,358.0,1.0,1.0
128,222.456,359.0,1.0,1.0
129,223.2,363.2,5.0,3.0
130,227.23,361.0,2.0,1.0
131,227.509,364.0,3.0,1.0
132,229.4,361.0,1.0,1.0
133,231.353,359.0,1.0,1.0
134,233.709,356.0,2.0,1.0
135,234.98,357.0,2.0,1.0
136,235.228,364.2,5.0,3.0
137,239.227,363.8,5.0,2.0
138,241.459,364.0,1.0,1.0
139,243.381,367.0,3.0,3.0
140,246.481,370.0,1.0,1.0
141,251.317,356.0,1.0,1.0
142,253.518,357.0,4.0,2.0
143,254.231,357.0,1.0,1.0
144,254.572,357.0,1.0,1.0
145,258.726,361.0,5.0,1.0
146,259.625,363.0,1.0,1.0
147,260.586,363.0,3.0,1.0
148,261.547,364.0,2.0,1.0
149,262.57,367.0,3.0,1.0
150,262.601,367.0,1.0,1.0
151,269.886,369.0,4.0,1.0
152,270.599,368.0,4.0,1.0
153,271.436,369.0,2.0,1.0
154,272.366,369.0,2.0,1.0
155,272.397,369.0,1.0,1.0
156,273.451,369.0,2.0,1.0
157,274.598,369.0,3.0,1.0
158,278.535,372.0,1.0,1.0
159,278.597,370.0,5.0,1.0
160,282.503,368.4,5.0,3.0
161,282.937,366.5,4.0,2.0
