,Time,Weighted_Price,Total_Size,Order_Number
0,4.061,142.25,4.0,2.0
1,4.154,147.0,1.0,1.0
2,8.06,143.0,1.0,1.0
3,10.85,147.66666666666666,3.0,2.0
4,12.152,148.0,1.0,1.0
5,13.144,143.0,5.0,1.0
6,13.764,147.0,3.0,1.0
7,14.725,148.0,1.0,1.0
8,15.655,151.55555555555554,9.0,3.0
9,16.523,153.0,3.0,1.0
10,23.126,157.0,5.0,1.0
11,23.963,157.0,1.0,1.0
12,24.955,153.0,2.0,1.0
13,26.071,153.0,1.0,1.0
14,26.629,156.4,5.0,3.0
15,26.784,152.0,1.0,1.0
16,28.861,153.0,1.0,1.0
17,29.729,151.0,3.0,1.0
18,30.039,151.0,2.0,1.0
19,36.425,154.0,4.0,1.0
20,38.378,154.0,1.0,1.0
21,39.587,151.0,2.0,1.0
22,39.866,151.0,2.0,1.0
23,40.176,151.0,1.0,1.0
24,41.54,151.0,4.0,2.0
25,42.439,153.0,2.0,1.0
26,44.02,152.0,1.0,1.0
27,44.113,153.75,4.0,2.0
28,44.547,155.0,1.0,1.0
29,45.57,155.0,5.0,1.0
30,46.562,154.25,4.0,2.0
31,48.949,159.0,1.0,1.0
32,49.755,152.5,2.0,2.0
33,54.653,151.8,5.0,2.0
34,56.265,151.0,4.0,1.0
35,57.815,150.33333333333334,3.0,2.0
36,60.233,149.0,5.0,1.0
37,60.419,154.0,5.0,1.0
38,61.349,148.0,3.0,1.0
39,62.806,153.0,4.0,1.0
40,65.255,148.0,1.0,1.0
41,66.371,149.0,5.0,1.0
42,67.115,150.0,1.0,1.0
43,73.439,145.5,6.0,2.0
44,73.594,148.75,4.0,3.0
45,74.741,154.2,5.0,2.0
46,76.415,152.0,3.0,2.0
47,77.004,151.0,2.0,1.0
48,79.36,159.0,4.0,1.0
49,79.794,159.0,2.0,1.0
50,80.91,156.5,2.0,2.0
51,83.762,154.0,1.0,1.0
52,88.164,152.75,4.0,2.0
53,90.706,159.0,3.0,1.0
54,91.078,156.0,3.0,2.0
55,91.326,154.0,2.0,1.0
56,91.357,154.0,3.0,1.0
57,94.395,154.0,3.0,1.0
58,94.643,151.8,5.0,2.0
59,97.588,153.66666666666666,3.0,2.0
60,98.394,152.5,2.0,2.0
