,Time,Weighted_Price,Total_Size,Order_Number
0,6.107,346.6666666666667,3.0,2.0
1,6.665,347.0,4.0,1.0
2,6.944,345.0,1.0,1.0
3,8.308,345.0,1.0,1.0
4,10.447,345.0,1.0,1.0
5,10.664,345.0,4.0,1.0
6,14.787,343.0,3.0,2.0
7,15.655,344.0,2.0,1.0
8,16.058,344.0,2.0,1.0
9,20.677,347.0,2.0,1.0
10,22.196,347.0,3.0,1.0
11,23.095,343.6666666666667,3.0,2.0
12,26.319,345.0,4.0,1.0
13,28.272,346.0,1.0,1.0
14,28.799,346.0,2.0,1.0
15,31.0,347.0,3.0,1.0
16,32.395,348.0,5.0,2.0
17,33.635,348.0,5.0,1.0
18,34.906,348.0,1.0,1.0
19,36.394,348.0,3.0,2.0
20,39.866,348.0,5.0,1.0
21,40.238,348.0,2.0,1.0
22,40.765,348.0,1.0,1.0
23,41.23,348.0,4.0,1.0
24,43.462,348.0,5.0,1.0
25,44.888,345.2,5.0,3.0
26,53.072,348.0,2.0,1.0
27,53.816,348.0,2.0,1.0
28,54.994,348.0,3.0,1.0
29,55.986,349.0,5.0,1.0
30,59.396,348.5,2.0,2.0
31,59.923,348.0,2.0,1.0
32,61.535,348.0,4.0,1.0
33,65.1,349.0,3.0,1.0
34,65.596,350.0,1.0,1.0
35,66.154,348.0,4.0,2.0
36,70.339,348.0,4.0,1.0
37,70.928,348.0,1.0,1.0
38,72.075,346.0,5.0,1.0
39,73.377,344.5,2.0,2.0
40,73.997,344.0,1.0,1.0
41,77.283,344.5,2.0,2.0
42,81.871,345.0,4.0,1.0
43,82.367,343.0,1.0,1.0
44,83.731,345.0,1.0,1.0
45,83.793,336.6,5.0,3.0
46,87.606,343.0,3.0,1.0
47,89.125,339.0,3.0,1.0
48,90.768,346.0,1.0,1.0
49,92.008,344.0,1.0,1.0
50,96.1,347.0,1.0,1.0
51,98.456,348.0,2.0,1.0
52,99.944,345.0,1.0,1.0
53,104.346,346.0,3.0,1.0
54,105.71,345.0,5.0,1.0
55,107.57,345.0,2.0,1.0
56,110.98,345.0,2.0,1.0
57,111.879,346.0,2.0,1.0
58,111.941,346.0,1.0,1.0
59,112.406,346.0,1.0,1.0
