,Time,Weighted_Price,Total_Size,Order_Number
0,4.216,151.0,1.0,1.0
1,9.083,152.0,1.0,1.0
2,11.377,156.0,2.0,1.0
3,12.617,157.0,1.0,1.0
4,15.097,158.0,1.0,1.0
5,16.833,159.0,2.0,1.0
6,16.957,158.0,2.0,1.0
7,17.081,161.0,4.0,1.0
8,18.073,155.5,2.0,2.0
9,18.135,151.0,5.0,1.0
10,21.204,155.0,1.0,1.0
11,23.219,156.0,3.0,2.0
12,25.265,164.0,4.0,1.0
13,26.04,162.0,2.0,1.0
14,26.474,162.0,5.0,1.0
15,26.877,161.0,1.0,1.0
16,31.031,167.0,5.0,1.0
17,32.612,164.0,1.0,1.0
18,33.139,163.0,4.0,1.0
19,36.766,168.0,1.0,1.0
20,37.603,164.0,1.0,1.0
21,39.308,166.5,4.0,2.0
22,40.424,163.0,3.0,2.0
23,42.284,162.4,5.0,2.0
24,42.904,167.57142857142858,7.0,3.0
25,44.051,169.0,1.0,1.0
26,44.299,168.0,3.0,1.0
27,44.423,168.0,5.0,1.0
28,45.942,167.66666666666666,3.0,2.0
29,53.258,166.25,4.0,2.0
30,55.769,169.0,1.0,1.0
31,56.792,161.0,5.0,3.0
32,57.474,160.0,2.0,1.0
33,57.753,169.0,4.0,1.0
34,60.543,161.0,2.0,1.0
35,61.907,161.0,5.0,1.0
36,66.34,161.0,4.0,1.0
37,66.681,166.0,1.0,1.0
38,67.115,162.0,1.0,1.0
39,68.603,161.0,2.0,1.0
40,69.13,162.0,1.0,1.0
41,69.874,161.0,1.0,1.0
42,70.866,161.0,5.0,1.0
43,71.982,161.0,2.0,1.0
44,75.206,165.0,5.0,2.0
45,79.453,164.0,3.0,1.0
46,79.949,164.0,2.0,1.0
47,80.941,161.0,1.0,1.0
48,81.282,160.0,4.0,1.0
49,81.437,158.0,1.0,1.0
50,82.522,158.0,4.0,1.0
51,82.77,159.0,1.0,1.0
52,84.506,160.0,1.0,1.0
53,84.568,163.0,3.0,3.0
54,88.412,164.0,2.0,1.0
55,91.419,160.5,2.0,2.0
56,95.201,163.0,5.0,2.0
57,95.883,166.0,1.0,1.0
58,96.069,165.0,5.0,1.0
59,96.193,166.0,4.0,1.0
60,97.836,170.0,2.0,1.0
61,102.393,168.66666666666666,3.0,2.0
62,102.982,168.0,2.0,1.0
63,103.168,166.75,4.0,3.0
64,105.555,165.0,3.0,2.0
65,106.113,165.0,2.0,1.0
66,106.237,161.8,5.0,2.0
67,108.376,161.0,2.0,2.0
68,109.182,163.0,1.0,1.0
69,110.639,157.125,8.0,3.0
70,114.452,162.6,5.0,3.0
71,116.002,163.75,4.0,2.0
72,117.893,168.0,1.0,1.0
73,120.745,169.0,2.0,1.0
74,122.295,169.0,2.0,1.0
75,123.938,168.5,2.0,2.0
76,124.186,167.5,2.0,2.0
77,126.325,164.5,4.0,3.0
78,130.696,165.0,1.0,1.0
79,132.06,165.0,3.0,1.0
80,132.742,165.0,1.0,1.0
81,133.145,165.0,2.0,1.0
82,133.455,165.0,1.0,1.0
83,135.377,165.0,1.0,1.0
84,137.547,169.0,1.0,1.0
85,137.795,165.0,1.0,1.0
86,139.066,166.66666666666666,3.0,2.0
87,140.027,162.0,2.0,2.0
88,141.577,169.0,2.0,1.0
89,143.964,169.0,2.0,1.0
90,144.801,163.5,4.0,3.0
91,146.041,164.0,3.0,1.0
92,146.599,162.0,5.0,3.0
93,146.723,160.0,2.0,2.0
94,149.327,169.0,4.0,1.0
95,152.148,169.0,2.0,1.0
96,154.225,169.66666666666666,3.0,2.0
97,158.255,169.0,1.0,1.0
98,159.03,168.0,2.0,1.0
99,159.123,168.0,4.0,1.0
100,159.433,168.0,2.0,1.0
101,159.836,165.0,3.0,2.0
102,162.812,165.0,1.0,1.0
103,171.957,167.0,2.0,1.0
104,174.22,166.0,1.0,1.0
105,174.375,166.0,1.0,1.0
106,176.421,166.0,3.0,1.0
107,179.614,166.0,2.0,1.0
108,179.707,163.8,5.0,3.0
109,180.079,162.0,2.0,1.0
110,180.575,162.0,1.0,1.0
111,182.962,168.0,4.0,1.0
112,187.24,168.0,4.0,1.0
113,192.324,168.5,4.0,2.0
114,194.401,168.0,1.0,1.0
115,195.269,167.2,5.0,2.0
116,195.362,161.0,4.0,3.0
117,198.059,160.0,4.0,2.0
