,Time,Weighted_Price,Total_Size,Order_Number
0,15.717,273.5,8.0,3.0
1,17.143,275.0,2.0,1.0
2,17.67,275.0,1.0,1.0
3,17.98,276.0,1.0,1.0
4,18.507,277.0,3.0,1.0
5,19.127,276.0,1.0,1.0
6,19.282,276.0,1.0,1.0
7,20.305,280.2,5.0,2.0
8,23.219,278.85714285714283,7.0,2.0
9,26.319,280.0,2.0,1.0
10,27.683,280.3333333333333,3.0,2.0
11,28.923,281.0,1.0,1.0
12,29.109,281.0,2.0,1.0
13,29.729,275.0,2.0,1.0
14,36.115,275.0,2.0,1.0
15,38.719,273.0,2.0,1.0
16,40.114,275.85714285714283,7.0,3.0
17,40.734,277.0,1.0,1.0
18,43.245,277.0,1.0,1.0
19,46.903,273.0,1.0,1.0
20,47.151,276.875,8.0,3.0
21,52.018,273.0,2.0,1.0
22,53.041,275.3333333333333,6.0,2.0
23,56.885,280.0,1.0,1.0
24,57.939,282.0,2.0,1.0
25,61.194,278.0,1.0,1.0
26,61.256,278.0,4.0,1.0
27,61.38,281.0,1.0,1.0
28,63.302,281.0,2.0,1.0
29,63.829,282.0,2.0,1.0
30,65.937,285.0,2.0,2.0
31,66.619,285.0,1.0,1.0
32,66.65,284.0,4.0,1.0
33,67.611,283.0,2.0,1.0
34,67.828,284.0,1.0,1.0
35,70.215,275.0,2.0,1.0
36,71.672,275.0,2.0,1.0
37,71.92,276.0,3.0,1.0
38,74.431,278.0,3.0,1.0
39,75.175,284.0,4.0,1.0
40,77.035,280.0,2.0,1.0
41,77.097,280.0,1.0,1.0
42,78.864,281.0,2.0,1.0
43,84.382,273.0,2.0,1.0
44,89.249,273.0,3.0,1.0
45,89.466,273.0,3.0,2.0
46,91.977,281.5,2.0,2.0
47,93.217,285.0,10.0,4.0
48,93.527,277.0,5.0,1.0
49,96.348,290.0,1.0,1.0
50,98.642,289.5,2.0,2.0
51,101.122,293.0,5.0,1.0
52,102.083,293.0,5.0,1.0
53,104.811,293.0,1.0,1.0
54,108.004,294.0,1.0,1.0
55,114.545,292.0,5.0,1.0
56,115.661,292.0,5.0,2.0
57,116.064,285.2,5.0,2.0
58,116.188,284.0,2.0,1.0
59,116.746,284.0,1.0,1.0
60,116.994,284.0,3.0,1.0
61,117.149,285.0,2.0,1.0
62,123.411,288.5,4.0,2.0
63,124.589,287.0,1.0,1.0
64,131.223,294.0,2.0,1.0
65,132.215,291.0,1.0,1.0
66,132.773,291.0,1.0,1.0
67,133.176,290.0,1.0,1.0
68,133.92,290.0,1.0,1.0
69,134.478,290.0,1.0,1.0
70,135.842,290.0,2.0,1.0
71,136.245,287.0,2.0,1.0
72,137.299,284.0,4.0,1.0
73,138.012,284.0,3.0,1.0
74,138.074,286.5,4.0,2.0
75,139.252,287.0,2.0,1.0
76,141.205,291.0,3.0,1.0
77,141.794,291.0,4.0,1.0
78,142.166,291.0,2.0,1.0
79,143.158,292.0,1.0,1.0
80,144.429,289.0,1.0,1.0
81,145.7,291.0,1.0,1.0
82,147.405,286.6,5.0,3.0
83,148.273,284.0,3.0,1.0
84,148.676,293.0,2.0,1.0
85,149.823,282.5,4.0,2.0
86,152.52,291.0,3.0,1.0
87,154.163,288.0,1.0,1.0
88,157.821,281.0,2.0,2.0
89,160.084,282.0,1.0,1.0
90,160.239,278.0,2.0,1.0
