,Time,Weighted_Price,Total_Size,Order_Number
0,7.657,161.0,2.0,1.0
1,10.044,163.0,1.0,1.0
2,12.617,164.0,3.0,1.0
3,12.803,159.0,3.0,2.0
4,13.888,153.5,2.0,2.0
5,16.306,152.85714285714286,7.0,3.0
6,19.282,154.0,1.0,1.0
7,19.809,153.0,4.0,1.0
8,20.398,154.0,2.0,1.0
9,23.219,154.75,4.0,2.0
10,23.715,158.0,4.0,1.0
11,24.738,157.0,2.0,1.0
12,25.358,154.0,2.0,1.0
13,28.21,151.0,1.0,1.0
14,29.481,148.0,1.0,1.0
15,31.403,156.08333333333334,12.0,6.0
16,32.798,152.0,3.0,1.0
17,33.139,152.5,4.0,2.0
18,33.17,153.0,2.0,1.0
19,34.751,153.0,1.0,1.0
20,40.3,157.0,5.0,3.0
21,43.276,155.0,5.0,1.0
22,43.462,155.0,1.0,1.0
23,44.578,156.0,5.0,1.0
24,46.097,155.0,3.0,1.0
25,49.042,161.0,4.0,1.0
26,52.607,160.8,5.0,3.0
27,55.366,159.4,5.0,3.0
28,58.714,159.0,2.0,1.0
29,58.962,157.0,3.0,2.0
30,59.024,161.0,8.0,2.0
31,61.349,165.0,3.0,1.0
32,61.938,162.2,5.0,3.0
33,63.178,159.0,3.0,1.0
34,63.984,159.0,3.0,1.0
35,66.743,161.0,4.0,1.0
36,69.812,161.0,3.0,2.0
37,70.618,161.0,4.0,1.0
38,70.835,161.0,1.0,1.0
39,72.571,158.0,4.0,2.0
40,72.912,161.0,1.0,1.0
41,73.005,158.0,3.0,1.0
42,73.935,160.0,2.0,1.0
43,76.322,156.25,4.0,3.0
44,79.174,157.0,1.0,1.0
45,79.98,155.0,5.0,1.0
46,80.631,155.0,3.0,2.0
47,81.592,156.0,1.0,1.0
48,84.754,166.0,1.0,1.0
49,84.816,166.0,4.0,1.0
50,88.443,162.0,5.0,2.0
51,89.187,161.0,2.0,1.0
52,89.838,159.66666666666666,3.0,3.0
53,93.837,158.0,2.0,1.0
54,95.387,156.0,5.0,2.0
55,95.728,156.0,5.0,1.0
56,96.131,156.0,1.0,1.0
57,97.774,158.0,1.0,1.0
58,100.812,158.5,4.0,2.0
59,101.68,158.0,2.0,1.0
60,106.795,158.0,2.0,1.0
61,107.601,158.0,4.0,1.0
62,108.004,159.0,1.0,1.0
63,108.221,158.66666666666666,3.0,2.0
64,109.988,162.0,1.0,1.0
65,110.019,162.0,1.0,1.0
66,110.515,165.75,4.0,2.0
67,110.794,155.5,2.0,2.0
68,113.553,152.0,1.0,1.0
69,116.498,153.0,2.0,1.0
70,117.335,153.0,3.0,2.0
71,120.28,148.0,2.0,1.0
72,123.845,146.0,3.0,1.0
73,124.496,146.0,1.0,1.0
74,125.364,148.0,2.0,1.0
75,125.457,148.0,3.0,1.0
76,126.542,150.0,2.0,1.0
77,126.697,150.0,1.0,1.0
78,126.79,151.0,4.0,1.0
79,127.813,153.0,1.0,1.0
80,130.417,149.66666666666666,3.0,2.0
81,130.448,153.0,2.0,1.0
82,131.905,154.0,1.0,1.0
83,132.928,155.0,3.0,1.0
84,135.439,150.0,3.0,1.0
85,136.214,151.0,3.0,1.0
86,136.524,152.0,3.0,1.0
87,137.268,154.0,2.0,1.0
88,137.733,154.0,1.0,1.0
89,138.632,154.0,3.0,1.0
90,138.849,155.0,1.0,1.0
91,138.973,154.0,4.0,1.0
92,140.244,162.75,4.0,2.0
93,140.647,162.0,2.0,1.0
94,140.771,158.8,5.0,3.0
95,142.91,156.0,1.0,1.0
96,144.739,154.0,7.0,2.0
97,147.839,160.0,1.0,1.0
98,155.093,162.0,1.0,1.0
99,156.829,161.0,4.0,3.0
100,159.774,166.0,3.0,1.0
101,161.045,166.0,2.0,1.0
