,Time,Weighted_Price,Total_Size,Order_Number
0,4.247,131.0,3.0,2.0
1,5.208,133.0,2.0,1.0
2,12.059,144.0,1.0,1.0
3,14.136,145.0,1.0,1.0
4,14.756,142.0,5.0,1.0
5,16.306,142.0,2.0,1.0
6,16.368,142.0,2.0,1.0
7,19.685,143.0,1.0,1.0
8,20.305,139.66666666666666,3.0,2.0
9,21.731,143.0,2.0,1.0
10,25.327,137.0,5.0,1.0
11,27.342,138.0,3.0,1.0
12,29.047,143.0,2.0,1.0
13,29.512,142.0,3.0,1.0
14,31.992,143.0,2.0,1.0
15,32.457,143.0,3.0,1.0
16,35.123,142.0,1.0,1.0
17,36.89,141.0,4.0,1.0
18,37.231,141.0,2.0,1.0
19,37.541,137.0,2.0,1.0
20,40.796,142.0,2.0,1.0
21,43.183,141.0,2.0,1.0
22,47.585,144.0,3.0,1.0
23,47.895,144.0,4.0,1.0
24,48.422,143.0,3.0,1.0
25,48.98,143.0,3.0,1.0
26,49.042,144.0,1.0,1.0
27,49.848,143.0,2.0,1.0
28,50.561,142.0,1.0,1.0
29,53.041,144.0,3.0,2.0
30,53.134,141.66666666666666,3.0,2.0
31,54.715,142.0,5.0,1.0
32,56.141,145.0,3.0,1.0
33,58.001,144.0,1.0,1.0
34,58.032,137.8,5.0,3.0
35,58.218,136.0,1.0,1.0
36,63.085,143.0,1.0,1.0
37,63.674,143.0,4.0,1.0
38,67.053,143.0,5.0,1.0
39,67.673,143.0,5.0,2.0
40,71.362,143.0,4.0,1.0
41,72.354,143.0,1.0,1.0
42,73.315,142.0,2.0,1.0
43,74.028,144.0,1.0,1.0
44,75.113,143.0,2.0,1.0
45,75.268,143.0,2.0,1.0
46,78.895,142.0,3.0,1.0
47,79.701,142.75,4.0,2.0
48,85.126,143.0,2.0,1.0
49,89.187,139.0,4.0,2.0
50,89.249,137.0,2.0,1.0
51,91.822,142.0,1.0,1.0
52,92.163,145.0,1.0,1.0
53,92.535,144.0,3.0,1.0
54,93.465,144.0,2.0,1.0
55,93.899,143.33333333333334,3.0,2.0
56,94.736,138.2,5.0,3.0
57,95.294,137.0,3.0,1.0
58,96.844,136.0,2.0,1.0
59,99.293,140.0,1.0,1.0
60,101.184,143.0,1.0,1.0
61,101.37,144.0,3.0,1.0
