,Time,Weighted_Price,Total_Size,Order_Number
0,9.083,259.0,2.0,1.0
1,11.656,260.0,1.0,1.0
2,16.089,263.0,4.0,1.0
3,16.461,263.0,2.0,1.0
4,17.577,260.0,1.0,1.0
5,18.011,258.0,2.0,1.0
6,19.778,256.6,5.0,4.0
7,20.367,249.0,1.0,1.0
8,20.987,257.0,3.0,1.0
9,24.118,251.0,1.0,1.0
10,24.273,253.0,1.0,1.0
11,25.234,252.5,2.0,2.0
12,26.474,249.0,4.0,1.0
13,29.047,250.0,1.0,1.0
14,29.667,253.0,2.0,1.0
15,30.256,254.875,8.0,4.0
16,33.418,255.25,4.0,2.0
17,34.162,250.0,2.0,1.0
18,34.224,256.0,3.0,2.0
19,36.549,255.0,2.0,1.0
20,39.122,251.0,4.0,1.0
21,39.494,254.0,1.0,1.0
22,40.858,259.0,2.0,1.0
23,46.686,258.0,3.0,1.0
24,46.81,257.0,1.0,1.0
25,48.174,257.0,4.0,2.0
26,52.235,258.0,1.0,1.0
27,55.18,261.3333333333333,9.0,2.0
28,55.211,258.0,1.0,1.0
29,56.327,258.0,2.0,1.0
30,57.536,259.0,3.0,1.0
31,57.722,258.0,1.0,1.0
32,58.156,259.0,4.0,1.0
33,60.977,257.75,4.0,2.0
34,62.031,257.0,4.0,2.0
35,66.34,257.0,1.0,1.0
36,70.091,257.0,3.0,1.0
37,70.184,257.0,3.0,1.0
38,73.377,261.0,1.0,1.0
39,73.811,258.2,5.0,2.0
40,74.369,258.0,2.0,1.0
41,75.919,261.2,5.0,2.0
42,78.337,263.0,2.0,1.0
43,80.786,259.0,1.0,1.0
44,81.189,258.0,3.0,1.0
45,83.359,260.0,3.0,1.0
46,84.041,260.0,3.0,1.0
47,84.661,259.0,2.0,2.0
48,86.18,260.0,4.0,1.0
49,91.016,263.0,2.0,1.0
50,98.332,260.0,4.0,1.0
51,98.394,260.0,4.0,1.0
52,99.479,260.0,2.0,2.0
53,101.494,257.6666666666667,3.0,2.0
54,102.362,256.0,5.0,2.0
55,105.338,259.5,4.0,2.0
56,108.872,260.0,3.0,1.0
57,111.414,263.0,4.0,1.0
58,113.894,258.0,1.0,1.0
59,115.196,258.0,1.0,1.0
60,115.723,258.0,1.0,1.0
61,116.002,258.0,3.0,2.0
62,120.311,258.0,4.0,1.0
63,125.643,258.0,2.0,1.0
64,125.829,258.0,3.0,1.0
65,126.325,258.0,1.0,1.0
66,128.34,257.0,4.0,1.0
67,128.774,256.0,1.0,1.0
68,130.014,258.0,3.0,1.0
69,132.897,263.0,1.0,1.0
70,134.044,263.0,3.0,1.0
71,134.199,256.5,2.0,2.0
72,134.447,256.0,3.0,1.0
73,138.353,260.0,2.0,1.0
74,140.802,258.8,5.0,3.0
75,141.949,256.0,1.0,1.0
76,143.406,256.0,4.0,1.0
77,146.785,254.0,4.0,1.0
78,148.428,263.0,1.0,1.0
79,150.164,260.0,1.0,1.0
80,155.62,260.0,3.0,1.0
81,157.201,258.0,5.0,1.0
82,158.689,259.0,3.0,1.0
83,158.937,258.0,2.0,1.0
84,160.487,258.0,1.0,1.0
85,160.58,257.0,1.0,1.0
86,161.076,256.0,3.0,2.0
87,161.789,256.0,1.0,1.0
88,163.68,255.0,2.0,1.0
89,164.703,251.0,1.0,1.0
90,164.889,251.0,4.0,1.0
91,165.354,252.0,2.0,1.0
92,169.539,254.0,2.0,1.0
93,171.771,256.0,3.0,1.0
94,174.623,252.0,1.0,1.0
95,176.359,254.0,3.0,1.0
96,177.723,263.0,1.0,1.0
97,178.219,257.0,2.0,1.0
98,180.699,247.0,5.0,1.0
99,180.947,252.0,1.0,1.0
100,182.125,249.0,2.0,1.0
101,183.923,256.5,4.0,3.0
102,185.287,258.0,1.0,1.0
103,188.728,259.0,4.0,1.0
104,189.658,260.0,5.0,1.0
105,191.58,260.0,1.0,1.0
106,191.89,260.0,1.0,1.0
107,194.37,257.0,1.0,1.0
108,196.478,251.0,4.0,1.0
109,196.54,252.0,1.0,1.0
110,198.214,253.0,1.0,1.0
111,198.245,253.5,4.0,2.0
112,199.082,253.0,1.0,1.0
113,199.888,254.0,2.0,1.0
114,201.004,254.0,1.0,1.0
115,201.469,254.0,5.0,1.0
116,204.414,257.0,1.0,1.0
117,207.917,262.25,4.0,2.0
118,209.405,257.0,2.0,1.0
119,211.048,263.0,1.0,1.0
120,211.606,263.0,3.0,1.0
121,212.443,261.5,4.0,2.0
122,214.799,260.0,2.0,1.0
123,217.434,260.0,1.0,1.0
124,217.682,260.0,2.0,1.0
125,219.79,260.0,1.0,1.0
126,220.255,260.0,1.0,1.0
127,221.619,260.0,3.0,1.0
128,227.602,260.0,5.0,1.0
129,227.881,258.0,1.0,1.0
130,228.904,257.0,1.0,1.0
131,231.136,256.0,3.0,2.0
132,231.942,256.0,1.0,1.0
133,232.376,255.0,2.0,1.0
134,237.553,258.0,1.0,1.0
135,237.646,259.0,1.0,1.0
136,240.56,260.6,5.0,3.0
137,242.978,260.0,1.0,1.0
138,243.04,260.0,1.0,1.0
139,244.063,260.0,4.0,1.0
140,244.807,260.0,4.0,1.0
141,245.086,257.5,2.0,2.0
142,248.93,257.0,1.0,1.0
143,249.178,257.0,2.0,1.0
144,249.674,258.0,1.0,1.0
145,253.053,260.0,3.0,1.0
146,253.549,260.0,3.0,1.0
147,255.812,261.0,1.0,1.0
148,258.168,258.4,5.0,2.0
149,265.019,257.2,5.0,3.0
150,266.197,255.0,3.0,1.0
151,268.181,263.0,1.0,1.0
152,271.281,261.0,3.0,1.0
153,275.249,258.0,1.0,1.0
154,276.272,258.0,3.0,1.0
155,276.861,261.0,1.0,1.0
156,277.636,261.0,1.0,1.0
157,279.806,261.0,1.0,1.0
158,280.798,259.0,1.0,1.0
159,281.48,258.0,1.0,1.0
160,281.635,258.0,5.0,1.0
161,286.223,264.0,2.0,1.0
162,290.625,260.0,1.0,1.0
163,295.585,261.0,3.0,2.0
164,295.833,258.0,3.0,1.0
165,295.895,257.0,2.0,1.0
166,296.019,257.0,3.0,1.0
167,299.677,257.0,3.0,2.0
168,299.863,258.0,4.0,1.0
169,301.444,256.0,1.0,1.0
170,302.033,256.0,1.0,1.0
171,302.095,257.0,1.0,1.0
172,302.715,256.0,2.0,1.0
173,307.582,259.0,1.0,1.0
174,310.744,260.0,1.0,1.0
175,313.379,258.0,1.0,1.0
176,313.72,258.0,1.0,1.0
177,314.619,257.4,5.0,2.0
178,315.797,259.0,1.0,1.0
179,317.998,257.0,1.0,1.0
180,318.866,256.0,3.0,1.0
181,319.145,259.0,2.0,1.0
182,319.672,260.6,5.0,2.0
183,319.734,248.0,4.0,3.0
184,321.005,258.0,1.0,1.0
185,322.462,256.0,3.0,2.0
186,326.244,254.66666666666666,6.0,3.0
187,328.104,256.0,4.0,1.0
188,329.096,258.0,3.0,1.0
189,330.119,260.0,1.0,1.0
190,333.405,260.0,2.0,2.0
191,334.242,259.0,1.0,1.0
192,334.707,260.0,1.0,1.0
193,338.458,259.0,5.0,1.0
194,340.659,257.0,4.0,2.0
195,341.155,256.0,5.0,2.0
196,344.596,261.0,2.0,1.0
197,346.301,260.0,3.0,1.0
198,349.339,261.0,2.0,1.0
199,350.765,261.0,1.0,1.0
200,353.121,260.3333333333333,3.0,2.0
201,354.64,265.0,2.0,1.0
202,359.259,259.0,3.0,1.0
203,361.119,259.0,3.0,1.0
204,361.15,259.0,1.0,1.0
205,361.212,258.0,1.0,1.0
206,362.08,258.0,4.0,1.0
207,362.855,258.0,4.0,1.0
208,365.49,258.0,2.0,1.0
209,365.862,260.0,1.0,1.0
210,368.28,258.0,1.0,1.0
211,370.295,263.0,2.0,1.0
212,374.666,261.0,4.0,2.0
213,375.937,261.0,2.0,1.0
214,378.665,258.25,4.0,3.0
215,381.486,258.0,1.0,1.0
216,382.137,257.5,2.0,2.0
217,383.346,257.0,4.0,2.0
218,385.33,255.0,1.0,1.0
219,385.671,257.0,5.0,1.0
220,387.655,264.0,3.0,1.0
221,389.05,263.25,4.0,2.0
222,390.073,261.0,1.0,1.0
223,395.653,261.0,5.0,2.0
224,397.358,259.0,2.0,1.0
225,398.567,259.0,1.0,1.0
226,401.264,257.3333333333333,3.0,2.0
227,403.341,259.0,2.0,1.0
228,405.108,257.0,2.0,1.0
229,407.371,258.0,2.0,1.0
230,409.262,257.0,2.0,1.0
231,411.184,261.0,2.0,1.0
232,412.951,257.0,2.0,1.0
233,413.168,256.0,3.0,1.0
234,416.392,251.0,1.0,1.0
235,416.826,251.0,3.0,1.0
236,417.477,254.66666666666666,9.0,4.0
237,419.461,258.75,4.0,2.0
238,422.22,253.0,1.0,1.0
239,423.832,252.33333333333334,3.0,2.0
240,426.064,252.0,3.0,1.0
241,426.312,252.0,1.0,1.0
242,426.715,259.0,1.0,1.0
243,427.769,259.0,1.0,1.0
244,428.048,260.0,3.0,1.0
245,434.155,259.0,4.0,1.0
246,435.085,259.0,5.0,2.0
247,435.302,258.5,4.0,2.0
248,436.356,260.0,1.0,1.0
249,437.472,258.0,1.0,1.0
250,438.123,249.0,5.0,2.0
251,438.464,247.0,3.0,1.0
252,439.642,251.0,6.0,2.0
253,441.967,262.0,4.0,1.0
254,442.711,260.75,4.0,2.0
255,445.625,259.0,5.0,1.0
256,447.516,257.0,2.0,1.0
257,448.074,256.8,5.0,2.0
258,449.779,257.0,2.0,1.0
259,450.833,257.0,4.0,1.0
260,452.135,259.0,1.0,1.0
261,452.724,257.0,2.0,1.0
262,453.561,248.0,1.0,1.0
263,457.157,251.0,4.0,1.0
264,459.575,252.0,1.0,1.0
265,459.606,252.0,1.0,1.0
266,460.536,253.0,2.0,1.0
267,461.714,253.0,2.0,1.0
268,461.869,253.0,5.0,1.0
269,464.969,256.75,4.0,2.0
270,465.992,255.0,1.0,1.0
271,466.705,257.0,3.0,1.0
272,467.015,245.0,1.0,1.0
273,470.146,251.0,5.0,1.0
274,474.021,249.77777777777777,9.0,3.0
275,474.362,253.0,2.0,1.0
276,480.252,252.0,4.0,1.0
277,481.244,253.0,1.0,1.0
278,485.46,249.0,1.0,1.0
279,485.491,249.0,3.0,1.0
280,485.801,251.0,1.0,1.0
281,491.815,252.0,8.0,2.0
