,Time,Weighted_Price,Total_Size,Order_Number
0,11.501,177.0,3.0,1.0
1,12.245,177.0,3.0,1.0
2,13.082,175.0,3.0,1.0
3,13.547,175.0,5.0,1.0
4,15.19,174.0,1.0,1.0
5,15.314,168.0,4.0,1.0
6,16.244,163.0,1.0,1.0
7,20.739,166.0,1.0,1.0
8,20.987,165.0,2.0,1.0
9,21.483,166.0,1.0,1.0
10,21.638,170.0,1.0,1.0
11,25.544,169.0,2.0,1.0
12,27.931,169.0,1.0,1.0
13,30.783,168.0,1.0,1.0
14,31.558,167.0,5.0,1.0
15,32.736,163.66666666666666,3.0,2.0
16,36.983,162.0,1.0,1.0
17,39.215,160.0,4.0,2.0
18,39.804,163.66666666666666,3.0,2.0
19,40.207,158.0,2.0,1.0
20,41.447,165.0,3.0,2.0
21,42.408,159.0,2.0,1.0
22,44.764,162.0,2.0,1.0
23,49.848,161.5,2.0,2.0
24,49.941,162.0,3.0,1.0
25,54.25,164.0,3.0,1.0
26,55.862,163.0,3.0,1.0
27,56.203,165.16666666666666,6.0,2.0
28,57.598,166.0,3.0,2.0
29,57.846,166.25,8.0,3.0
30,60.481,165.0,3.0,1.0
31,60.605,165.0,1.0,1.0
32,62.217,166.0,2.0,1.0
33,62.589,165.0,4.0,1.0
34,62.93,165.0,5.0,1.0
35,62.961,166.0,1.0,1.0
36,64.79,164.0,1.0,1.0
37,65.069,159.0,1.0,1.0
38,65.565,163.0,4.0,1.0
39,66.278,162.0,1.0,1.0
40,71.114,165.0,1.0,1.0
41,71.951,165.0,1.0,1.0
42,72.943,163.0,1.0,1.0
43,74.245,162.0,1.0,1.0
44,75.981,161.0,3.0,2.0
45,78.864,162.0,4.0,2.0
46,82.398,164.0,3.0,1.0
47,83.948,163.0,4.0,1.0
48,87.265,159.0,3.0,1.0
49,87.699,162.2,5.0,4.0
50,92.225,165.0,4.0,2.0
51,93.31,164.0,4.0,1.0
52,94.302,165.25,4.0,3.0
53,95.976,164.0,1.0,1.0
54,96.627,166.0,3.0,1.0
55,97.743,166.5,6.0,3.0
56,98.611,167.0,2.0,1.0
57,100.037,165.0,1.0,1.0
58,100.626,162.0,3.0,1.0
59,100.657,165.0,1.0,1.0
60,101.339,164.0,4.0,1.0
61,101.649,165.0,1.0,1.0
62,101.773,165.0,1.0,1.0
63,103.602,167.0,2.0,1.0
64,103.912,163.66666666666666,3.0,3.0
65,105.028,168.0,1.0,1.0
66,109.43,176.0,5.0,1.0
67,112.716,174.0,2.0,1.0
68,113.894,174.0,3.0,2.0
69,119.164,174.0,2.0,2.0
70,121.613,174.0,3.0,1.0
71,122.667,172.0,4.0,3.0
72,123.814,172.0,1.0,1.0
73,124.062,172.0,1.0,1.0
74,124.775,171.0,1.0,1.0
75,125.364,173.0,4.0,1.0
76,127.968,168.8,5.0,2.0
77,133.951,172.0,2.0,1.0
78,135.501,170.6,5.0,3.0
79,138.508,176.0,2.0,1.0
80,139.066,176.0,2.0,1.0
81,142.383,176.0,5.0,1.0
82,143.034,175.75,4.0,2.0
83,143.902,174.0,1.0,1.0
84,143.933,174.0,3.0,1.0
85,144.708,172.83333333333334,6.0,3.0
86,145.297,170.0,3.0,1.0
87,146.475,168.0,1.0,1.0
88,146.971,175.0,1.0,1.0
89,147.901,168.0,1.0,1.0
90,148.211,167.0,2.0,2.0
91,154.225,172.0,5.0,3.0
92,154.938,169.0,4.0,1.0
93,156.023,167.5,4.0,2.0
94,157.914,176.0,3.0,1.0
95,159.402,176.0,1.0,1.0
96,161.386,176.0,1.0,1.0
97,161.541,171.0,1.0,1.0
98,165.416,171.0,4.0,2.0
99,166.501,171.0,2.0,1.0
100,167.307,167.0,2.0,2.0
101,167.4,168.0,1.0,1.0
102,168.33,170.0,1.0,1.0
103,171.771,174.0,1.0,1.0
104,174.282,176.0,1.0,1.0
105,176.266,174.0,2.0,1.0
106,177.568,174.0,1.0,1.0
107,177.723,174.0,5.0,1.0
108,178.188,174.0,1.0,1.0
109,179.304,171.0,2.0,1.0
110,179.955,171.0,4.0,1.0
111,182.28,173.0,3.0,1.0
112,182.9,173.0,2.0,1.0
113,184.822,173.0,3.0,1.0
114,186.496,167.33333333333334,3.0,2.0
115,187.054,168.0,1.0,1.0
116,190.433,173.0,3.0,1.0
117,190.712,173.0,1.0,1.0
118,191.549,173.0,3.0,1.0
119,192.045,172.0,5.0,1.0
120,197.656,173.8,5.0,2.0
121,197.749,173.0,5.0,1.0
122,200.601,173.0,4.0,1.0
123,200.632,173.0,1.0,1.0
124,201.345,171.4,5.0,2.0
125,202.647,171.0,2.0,1.0
126,203.205,171.0,2.0,1.0
127,205.127,172.0,3.0,1.0
128,206.553,176.0,1.0,1.0
129,207.018,169.0,1.0,1.0
130,209.963,172.0,1.0,1.0
131,212.381,170.0,1.0,1.0
132,212.412,167.0,1.0,1.0
133,212.877,167.0,5.0,1.0
134,214.365,166.0,4.0,1.0
135,214.396,166.0,2.0,1.0
136,214.923,166.0,3.0,1.0
137,219.015,166.0,4.0,1.0
138,219.449,164.5,4.0,2.0
139,221.65,166.0,3.0,1.0
140,222.425,165.0,1.0,1.0
141,222.859,165.0,3.0,1.0
142,223.417,165.0,3.0,1.0
143,225.153,164.42857142857142,7.0,3.0
144,225.215,167.0,1.0,1.0
145,231.198,168.0,2.0,1.0
146,231.601,167.0,3.0,1.0
